feature,importance
special_char_count,9.365993659115194
# ,6.6493161590563
1',5.3352575569631515
"1""",4.703763428683053
""" ",4.5009910821508035
 se,4.407106765214156
%,4.067574888053159
 (,4.0458303807586935
", ",3.671646886586273
 ),3.559646770371466
( ,3.53627467213414
"1,",3.486512476027301
has_waitfor,3.4833212354537713
=,3.4386086388670196
--,3.368955795981129
1' ,3.296498832445223
 ( ,3.261235003915541
/,3.1413207053173746
 1 ,2.8959145775776607
q,2.8812123607406526
